,ID,Station Name,Total Docks,Docks in Service,Status,Latitude,Longitude,Location,community_area
924,592,Knox Ave & Montrose Ave,11,11,In Service,41.960631,-87.745359,"(41.960631, -87.745359)",IRVING_PARK
925,639,Lakefront Trail & Wilson Ave,15,15,In Service,41.965845,-87.645361,"(41.965845, -87.645361)",UPTOWN
926,665,South Chicago Ave & Elliot Ave,7,7,In Service,41.747363,-87.580046,"(41.747363, -87.580046)",AVALON_PARK
927,219,Damen Ave & Cortland St,19,19,In Service,41.915983,-87.677335,"(41.915983, -87.677335)",LOGAN_SQUARE
928,159,Claremont Ave & Hirsch St,11,11,In Service,41.907781,-87.685854,"(41.907781, -87.685854)",WEST_TOWN
929,423,University Ave & 57th St,31,31,In Service,41.791478,-87.599861,"(41.791478, -87.599861)",HYDE_PARK
930,535,Pulaski Rd & Congress Pkwy,11,11,In Service,41.87441021,-87.726091594,"(41.87441021003816, -87.72609159350395)",WEST_GARFIELD_PARK
931,224,Halsted St & Willow St,19,19,In Service,41.913865,-87.648755,"(41.913865, -87.648755)",LINCOLN_PARK
932,202,Halsted St & 18th St,15,15,In Service,41.85750568,-87.645991445,"(41.85750568031716, -87.64599144458771)",LOWER_WEST_SIDE
933,222,Milwaukee Ave & Rockwell St,19,19,In Service,41.920195562,-87.692659199,"(41.92019556200566, -87.69265919923781)",LOGAN_SQUARE
934,138,Clybourn Ave & Division St,15,15,In Service,41.904613,-87.640552,"(41.904613, -87.640552)",NEAR_NORTH_SIDE
935,20,Sheffield Ave & Kingsbury St,15,15,In Service,41.910522,-87.653106,"(41.910522, -87.653106)",NEAR_NORTH_SIDE
936,233,Sangamon St & Washington Blvd,15,15,In Service,41.883165,-87.6511,"(41.883165, -87.6511)",NEAR_WEST_SIDE
937,108,Halsted St & Polk St,19,19,In Service,41.87184,-87.64664,"(41.87184, -87.64664)",NEAR_WEST_SIDE
938,557,Seeley Ave & Garfield Blvd,11,11,In Service,41.794087,-87.675478,"(41.794087, -87.675478)",NEW_CITY
939,623,Michigan Ave & 8th St,43,43,In Service,41.872773,-87.623981,"(41.872773, -87.623981)",LOOP
940,290,Kedzie Ave & Palmer Ct,15,15,In Service,41.921525,-87.707322,"(41.921525, -87.707322)",LOGAN_SQUARE
941,178,State St & 19th St,15,15,In Service,41.856594,-87.627542,"(41.856594, -87.627542)",NEAR_SOUTH_SIDE
942,279,Halsted St & 35th St,15,15,In Service,41.830661,-87.647172,"(41.830661, -87.647172)",BRIDGEPORT
943,110,Dearborn St & Erie St,27,27,In Service,41.893992,-87.629318,"(41.893992, -87.629318)",NEAR_NORTH_SIDE
944,342,Wolcott Ave & Polk St,23,23,In Service,41.871262,-87.673688,"(41.871262, -87.673688)",NEAR_WEST_SIDE
945,465,Marine Dr & Ainslie St,23,23,In Service,41.9716,-87.650154,"(41.9716, -87.650154)",UPTOWN
946,93,Sheffield Ave & Willow St,15,15,In Service,41.913688,-87.652855,"(41.913688, -87.652855)",LINCOLN_PARK
947,548,Morgan St & Pershing Rd,7,7,In Service,41.823613,-87.650931,"(41.823613, -87.650931)",BRIDGEPORT
948,275,Ashland Ave & 13th St,15,15,In Service,41.865234,-87.666507,"(41.865234, -87.666507)",NEAR_WEST_SIDE
949,536,Kostner Ave & Lake St,11,11,In Service,41.885928,-87.73541,"(41.885928, -87.73541)",WEST_GARFIELD_PARK
950,28,Larrabee St & Menomonee St,15,15,In Service,41.91468,-87.64332,"(41.91468, -87.64332)",LINCOLN_PARK
951,571,Vernon Ave & 75th St,11,11,In Service,41.758361,-87.614138,"(41.758361, -87.614138)",GREATER_GRAND_CROSSING
952,45,Michigan Ave & Ida B Wells Dr,15,15,In Service,41.876243,-87.624426,"(41.876243, -87.624426)",LOOP
953,621,Aberdeen St & Randolph St,15,15,In Service,41.884114,-87.654264,"(41.884114, -87.654264)",NEAR_WEST_SIDE
954,195,Columbus Dr & Randolph St,55,55,In Service,41.884728,-87.619521,"(41.884728, -87.619521)",LOOP
955,5,State St & Harrison St,23,23,In Service,41.874053,-87.627716,"(41.874053, -87.627716)",LOOP
956,628,Walsh Park,23,23,In Service,41.91461,-87.667968,"(41.91461, -87.667968)",LOGAN_SQUARE
957,546,Damen Ave & Pershing Rd,11,11,In Service,41.823192,-87.676597,"(41.823192, -87.676597)",MCKINLEY_PARK
958,602,Central St & Girard Ave,15,15,In Service,42.064313,-87.686152,"(42.064313, -87.686152)",Not Found
959,605,University Library (NU),15,15,In Service,42.052939,-87.673447,"(42.052939, -87.673447)",Not Found
