the_geom,SYSTEMSTOP,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,PUBLIC_NAM
POINT (-87.65499161999998 41.80157103900001),18419,RACINE,51ST STREET,NB,FS,44,,CHICAGO,Racine & 51st Street
POINT (-87.655155111 41.801329814999974),18420,RACINE,51ST STREET,SB,FS,44,,CHICAGO,Racine & 51st Street
POINT (-87.70099966999999 41.69897406299998),18421,KEDZIE,107TH STREET,NB,FS,52A,,CHICAGO,Kedzie & 107th Street
POINT (-87.701193784 41.69876090600002),18422,KEDZIE,107TH STREET,SB,FS,52A,,CHICAGO,Kedzie & 107th Street
POINT (-87.71845732999998 41.96841679300002),18107,LAWRENCE,CENTRAL PARK,WB,FS,81,N81,CHICAGO,Lawrence & Central Park
POINT (-87.76723167300003 41.967715913000006),18109,LAWRENCE,CENTRAL,EB,FS,"81W,91",,CHICAGO,Lawrence & Central
POINT (-87.762293736 41.96758031600001),18110,LAWRENCE,LONG,EB,FS,"81W,91",,CHICAGO,Lawrence & Long
POINT (-87.76289219300003 41.96775292799998),18111,LAWRENCE,LONG,WB,FS,"81W,91",,CHICAGO,Lawrence & Long
POINT (-87.77442272600001 41.97845696500002),18113,NORTHWEST HWY,MONITOR,SEB,FT,68,,CHICAGO,Northwest Hwy & Monitor
POINT (-87.67546542500003 41.87143911099997),18301,POLK,DAMEN,EB,FS,157,,CHICAGO,Polk & Damen
POINT (-87.68380608299998 41.780671970000014),18302,WESTERN,62ND STREET,SB,FS,49,N49,CHICAGO,Western & 62nd Street
POINT (-87.683579162 41.781597202),18303,WESTERN,62ND STREET,NB,FS,49,N49,CHICAGO,Western & 62nd Street
POINT (-87.68886320000001 42.04428917000001),18304,LAKE,RIDGE,WB,FS,206,,EVANSTON,Lake & Ridge
POINT (-87.69935198000002 41.98548814899999),1363,LINCOLN,CALIFORNIA,SEB,NS,11,,CHICAGO,Lincoln & California
POINT (-87.83641751300001 41.95195466000001),5593,IRVING PARK,CUMBERLAND,EB,FS,80,,CHICAGO,Irving Park & Cumberland
POINT (-87.83041100000003 42.009612000000004),9916,SUMMIT,PROSPECT,NWB,NS,68,,PARK RIDGE,Summit & Prospect
POINT (-87.604844641 41.742028823),2473,COTTAGE GROVE,84TH STREET,NB,NS,4,,CHICAGO,Cottage Grove & 84th Street
POINT (-87.72014930699999 41.74964815599998),2688,79TH STREET,SPRINGFIELD (west leg),WB,NS,79,,CHICAGO,79th Street & Springfield
POINT (-87.70529499899999 41.939284000999976),7861,BELMONT,ALBANY (east leg),EB,NS,77,N77,CHICAGO,Belmont & Albany
POINT (-87.57858299999998 41.76626700000003),10826,71ST STREET,EUCLID (west leg),WB,FT,71,,CHICAGO,71st Street & Euclid
POINT (-87.63110449599998 41.879472194000016),17046,ADAMS,CLARK,WB,FS,"1,7,28,126,130,151",,CHICAGO,Adams & Clark
POINT (-87.70633299899998 41.88090199999999),416,MADISON,KEDZIE,EB,NS,20,N20,CHICAGO,Madison & Kedzie
POINT (-87.70545115300001 41.98937717299998),1500,LINCOLN,WHIPPLE (north leg),NWB,NS,11,,CHICAGO,Lincoln & Whipple
POINT (-87.68636762599999 41.87370650999998),14769,WESTERN,HARRISON,SB,FS,"49,X49",N49,CHICAGO,Western & Harrison
POINT (-87.66492261799999 41.80144204499999),6084,ASHLAND,51ST STREET,SB,NS,"9,X9",N9,CHICAGO,Ashland & 51st Street
POINT (-87.66404863100001 41.778865171999996),6179,ASHLAND,GREEN LINE (63RD),NB,MB,"9,X9",N9,CHICAGO,Ashland/63rd Green Line Station
POINT (-87.846339027 41.969998257999976),8584,EAST RIVER RD,ARGYLE,NB,NS,81W,,NORRIDGE,East River Rd & Argyle
POINT (-87.62754289600002 41.736346587000014),9491,87TH STREET,100' W-entrance to Mall,WB,MB,87,N87,CHICAGO,200 W 87th Street
POINT (-87.79375466900001 41.960206047999975),11422,MONTROSE,FOREST PRESERVE AVENUE,WB,NS,78,,HARWOOD HEIGHTS,Montrose & Forest Preserve Avenue
POINT (-87.581408254 41.773445562000006),5313,67TH STREET,CREGIER,WB,NT,"N5,6,15,67",N5,CHICAGO,67th Street & Cregier
POINT (-87.69203556600002 41.82287774700001),7790,PERSHING,WASHTENAW,WB,NS,39,,CHICAGO,Pershing & Washtenaw
POINT (-87.58872078000002 41.75151619600001),2622,79TH STREET,ANTHONY,WB,FT,79,N79,CHICAGO,79th Street & Anthony
POINT (-87.67218799900002 41.96159499999999),11371,MONTROSE,HERMITAGE,WB,NS,78,,CHICAGO,Montrose & Hermitage
POINT (-87.67799441800003 41.79396753899999),10609,GARFIELD,HAMILTON,WB,MT,55,N55,CHICAGO,Garfield & Hamilton
POINT (-87.60988500000002 41.80224199999998),1537,51ST STREET,CHAMPLAIN,WB,NS,15,,CHICAGO,51st Street & Champlain
POINT (-87.71753442800002 41.859010565000005),6834,16TH STREET,LAWNDALE,WB,NS,18,,CHICAGO,16th Street & Lawndale
POINT (-87.58255300000002 41.73702300000002),9468,87TH STREET,EAST END,WB,NS,87,,CHICAGO,87th Street & East End
POINT (-87.81436967399998 41.96718278200001),9743,LAWRENCE,OLCOTT,WB,NS,81W,,HARWOOD HEIGHTS,Lawrence & Olcott
POINT (-87.63229959199998 41.886301892000006),15904,LASALLE,WACKER & LAKE,NB,MB,"134,135,136,156",,CHICAGO,LaSalle & Wacker/Lake
POINT (-87.71352199900002 41.977439000000004),11288,KIMBALL,BERWYN,NB,NS,82,,CHICAGO,Kimball & Berwyn
POINT (-87.65033512500003 41.97165450599999),4897,MARINE DRIVE,AINSLIE,NB,NT,"136,146,148",,CHICAGO,Marine Drive & Ainslie
POINT (-87.69334580700001 41.78089146999997),4150,CALIFORNIA,62ND STREET,NB,NS,94,,CHICAGO,California & 62nd Street
POINT (-87.65397000000002 41.763194),5056,RACINE,72ND STREET,NB,NS,44,,CHICAGO,Racine & 72nd Street
POINT (-87.66071612299999 41.95255562800003),1929,CLARK,BYRON,NB,NT,22,N22,CHICAGO,Clark & Byron
POINT (-87.71166199999999 41.911794999999984),11255,KIMBALL,WABANSIA,NB,NS,82,,CHICAGO,Kimball & Wabansia
POINT (-87.71228799900001 41.933918000000006),11268,KIMBALL,DAWSON,NB,NS,82,,CHICAGO,Kimball & Dawson
POINT (-87.67391600000002 41.784673999999995),8729,DAMEN,60TH STREET,NB,NS,48,,CHICAGO,Damen & 60th Street
POINT (-87.67278099999999 41.740999999999985),8706,DAMEN,84TH STREET,NB,NS,48,,CHICAGO,Damen & 84th Street
POINT (-87.60659200100002 41.814797999999996),2514,COTTAGE GROVE,44TH STREET,NB,NS,4,N4,CHICAGO,Cottage Grove & 44th Street
POINT (-87.846405001 41.97362199999998),8588,EAST RIVER RD,FOSTER,NB,NS,81W,,CHICAGO,East River Rd & Foster
POINT (-87.78772952899999 41.97918470899998),9701,NAGLE,BALMORAL,NB,NS,86,,CHICAGO,Nagle & Balmoral
POINT (-87.687416627 41.921790391),8402,WESTERN,PALMER (north leg),NB,NS,49,N49,CHICAGO,Western & Palmer
POINT (-87.806347555 41.95420248800002),17943,FOREST PRES AVE,7100 WEST,NEB,MB,78,,CHICAGO,7100 W Forest Preserve Avenue
POINT (-87.66895331 41.96152604399998),17944,MONTROSE,ASHLAND,EB,FS,78,,CHICAGO,Montrose & Ashland
POINT (-87.70362833799999 41.961272184999984),17945,MONTROSE,SACRAMENTO,WB,FS,78,,CHICAGO,Montrose & Sacramento
POINT (-87.642121411 41.87430668899998),17995,HARRISON,JEFFERSON,EB,FS,"7,36,60,125",N60,CHICAGO,Harrison & Jefferson
POINT (-87.59790884900002 41.794961812999986),18018,55TH STREET,UNIVERSITY,EB,FS,55,N55,CHICAGO,55th Street & University
POINT (-87.664353775 41.823060724000015),18019,PERSHING,ASHLAND,EB,FS,39,,CHICAGO,Pershing & Ashland
POINT (-87.665584739 41.822420561),18020,ASHLAND,PERSHING,SB,FS,"9,X9",N9,CHICAGO,Ashland & Pershing
POINT (-87.60787001900002 41.75129723200001),18286,79TH STREET,LANGLEY,WB,FS,79,N79,CHICAGO,79th Street & Langley
POINT (-87.70399214899999 41.81413781100002),18287,ARCHER,KEDZIE,NEB,FS,62,N62,CHICAGO,Archer & Kedzie
POINT (-87.71144931700002 41.809771152999986),18288,ARCHER,ST. LOUIS,SWB,FS,62,N62,CHICAGO,Archer & St. Louis
POINT (-87.59402090700002 41.704085272999976),18433,WOODLAWN,10400 SOUTH,NB,MB,111A,,CHICAGO,Pullman Community Center
POINT (-87.65587693499998 41.735801243000026),9395,87TH STREET,THROOP,EB,NS,87,N87,CHICAGO,87th Street & Throop
POINT (-87.644645739 41.780090918999974),15874,HALSTED,63RD STREET,NB,FS,8,,CHICAGO,Halsted & 63rd Street
POINT (-87.611106 41.832314),7628,COTTAGE GROVE,WOODLAND PARK (3423 S.),SB,MB,35,,CHICAGO,Cottage Grove & Woodland Park (3423 S)
POINT (-87.66077867000001 41.695886347),12357,VINCENNES,109TH STREET,SB,NS,112,,CHICAGO,Vincennes & 109th Street
POINT (-87.53543599900001 41.719679000999975),7265,EWING,97TH STREET,SB,NS,"26,30",,CHICAGO,Ewing & 97th Street
POINT (-87.53981892899998 41.65722388199998),7333,AVENUE O,131ST STREET,NB,NS,30,,CHICAGO,Avenue O & 131st Street
POINT (-87.67549200100001 41.844776001000014),8751,DAMEN,2559 SOUTH,NB,NS,50,,CHICAGO,2559 S Damen
POINT (-87.637333657 41.77995021800001),3233,63RD STREET,NORMAL,WB,NS,63,N63,CHICAGO,63rd Street & Normal
POINT (-87.63097525699999 41.876938999000004),17432,VAN BUREN,CLARK,WB,FS,36,,CHICAGO,Van Buren & Clark
POINT (-87.56666787 41.77151229399999),7048,S. SHORE DRIVE,68TH STREET,SB,FS,"6,26",,CHICAGO,S. Shore Drive & 68th Street
POINT (-87.57169177399999 41.773432867999986),7044,67TH STREET,PAXTON,EB,NS,"6,26,67",,CHICAGO,67th Street & Paxton
POINT (-87.64618838299998 41.89634208299998),566,CHICAGO,700 WEST,EB,NT,66,N66,CHICAGO,700 W Chicago
POINT (-87.71640200000002 41.807999000999985),8107,47TH STREET,LAWNDALE,WB,MT,47,,CHICAGO,47th Street & Lawndale
POINT (-87.61398438100002 41.81674285399998),8001,43RD STREET,VINCENNES,WB,NS,43,,CHICAGO,43rd Street & Vincennes
POINT (-87.733993999 41.90910600000001),698,GRAND,KILDARE,SEB,NS,65,,CHICAGO,Grand & Kildare
POINT (-87.70758353299999 41.946568644000024),12519,ADDISON,KEDZIE,EB,FS,152,,CHICAGO,Addison & Kedzie
POINT (-87.70495532799998 41.844681648000005),17449,KEDZIE,26TH STREET,NB,FS,52,,CHICAGO,Kedzie & 26th Street
POINT (-87.62568299999998 41.791223),2423,STATE,57TH STREET,SB,NS,29,,CHICAGO,State & 57th Street
POINT (-87.68515816600001 41.997881389999975),17198,DEVON,LEAVITT,WB,FS,155,,CHICAGO,Devon & Leavitt
POINT (-87.78559919700001 41.93116012600001),17208,NARRAGANSETT,DIVERSEY,NB,FS,86,,CHICAGO,Narragansett & Diversey
POINT (-87.617007 41.76563299999998),10785,71ST STREET,CALUMET,EB,NS,71,,CHICAGO,71st Street & Calumet
POINT (-87.62643145300001 41.83491921199999),18488,STATE,33RD STREET,NB,FS,"29,31",,CHICAGO,State & 33rd Street
POINT (-87.626750985 41.83443189899998),18489,STATE,33RD STREET,SB,FS,"29,31",,CHICAGO,State & 33rd Street
POINT (-87.61831433600003 41.685429166000006),18511,115TH STREET,INDIANA,WB,FS,115,,CHICAGO,115th Street & Indiana
POINT (-87.62111502599998 41.68541018500002),18512,115TH STREET,MICHIGAN,WB,FS,115,,CHICAGO,115th Street & Michigan
POINT (-87.62045130500002 41.685282126999994),18513,115TH STREET,MICHIGAN,EB,FS,115,,CHICAGO,115th Street & Michigan
POINT (-87.62552456499998 41.685392580999974),18514,115TH STREET,PERRY,WB,NS,115,,CHICAGO,115th Street & Perry
POINT (-87.74629582900002 41.97543179799999),18560,FOSTER,4720 WEST,WB,FS,92,,CHICAGO,4720 W Foster
POINT (-87.795571999 41.93082099999998),10969,DIVERSEY,OAK PARK,EB,NS,76,,CHICAGO,Diversey & Oak Park
POINT (-87.78582082999998 41.930934794999985),10973,DIVERSEY,NARRAGANSETT,EB,NS,76,,CHICAGO,Diversey & Narragansett
POINT (-87.66856892999999 41.932331146000024),11022,DIVERSEY,ASHLAND,EB,NS,76,,CHICAGO,Diversey & Ashland
POINT (-87.68533623299999 41.93228969900002),11058,DIVERSEY,OAKLEY,WB,NS,76,,CHICAGO,Diversey & Oakley
POINT (-87.63957027200001 41.685174227000005),2854,115TH STREET,UNION (east leg),WB,NS,115,,CHICAGO,115th Street & Union
POINT (-87.612680001 41.75111500000003),2782,79TH STREET,EBERHART,EB,NS,79,N79,CHICAGO,79th Street & Eberhart
POINT (-87.74195724200001 41.99003751599997),11506,PETERSON,FOREST GLEN,WB,NS,84,,CHICAGO,Peterson & Forest Glen
POINT (-87.67739460799999 41.917830967999976),4101,ARMITAGE,DAMEN,WB,NS,73,,CHICAGO,Armitage & Damen
POINT (-87.625309345 41.785593112000015),13046,60TH STREET,STATE,WB,NS,59,,CHICAGO,60th Street & State
POINT (-87.70556244400001 41.691565493999974),12378,111TH STREET,HOMAN,WB,NS,112,,CHICAGO,111th Street & Homan
POINT (-87.68559599899999 41.85432800000001),8362,WESTERN,PINK LINE STATION,NB,MB,"49,X49",N49,CHICAGO,Western Pink Line Station
POINT (-87.66968512199998 41.983399916999986),8969,ASHLAND,BRYN MAWR,NB,NS,50,,CHICAGO,Ashland & Bryn Mawr
POINT (-87.54002708299998 41.68813562899999),7342,AVENUE O,114TH STREET,NB,NS,30,,CHICAGO,Avenue O & 114th Street
POINT (-87.66232653700001 41.95464456000002),6281,CLARK,IRVING PARK,NB,FS,"9,22",N22,CHICAGO,Clark & Irving Park
POINT (-87.63142899899998 41.90569800100002),1900,CLARK,GOETHE,NB,NS,"22,36",N22,CHICAGO,Clark & Goethe
POINT (-87.74713902899998 41.87682101500002),141,JACKSON,4900 WEST,WB,MB,126,,CHICAGO,4900 W Jackson
POINT (-87.76349105899999 41.970524652999984),9798,GALE,MILWAUKEE,SWB,FS,"85,88",,CHICAGO,Gale & Milwaukee
POINT (-87.668192487 41.73581732500003),17949,87TH STREET,WOOD,WB,FS,87,N87,CHICAGO,87th Street & Wood
POINT (-87.60563835699998 41.77331415100002),18005,COTTAGE GROVE,67TH STREET,NB,FS,4,,CHICAGO,Cottage Grove & 67th Street
POINT (-87.60574497800002 41.77701202899999),18006,COTTAGE GROVE,65TH STREET,NB,FS,4,,CHICAGO,Cottage Grove & 65th Street
POINT (-87.60578832499999 41.77877916699998),18007,COTTAGE GROVE,64TH STREET,NB,FS,4,,CHICAGO,Cottage Grove & 64th Street
POINT (-87.60599297300001 41.77834425399999),18008,COTTAGE GROVE,64TH STREET,SB,FS,4,,CHICAGO,Cottage Grove & 64th Street
POINT (-87.63246160699998 41.881789878000006),14060,LASALLE,MADISON,SB,FS,"134,135,136,156",,CHICAGO,LaSalle & Madison
POINT (-87.65869380599997 41.69932670999998),12412,VINCENNES,107TH STREET,NB,NS,112,,CHICAGO,Vincennes & 107th Street
POINT (-87.55129427000003 41.72835230300001),7076,COMMERCIAL,92ND STREET,SB,NS,"N5,71",N5,CHICAGO,Commercial & 92nd Street
POINT (-87.67807975699998 41.852214515000014),6867,CERMAK,HOYNE,WB,NS,21,,CHICAGO,Cermak & Hoyne
POINT (-87.67311707599998 41.706478661999995),12143,103RD STREET,SEELEY (west leg),EB,NS,103,,CHICAGO,103rd Street & Seeley
POINT (-87.71122470099999 42.01173809800002),14400,TOUHY,MCCORMICK,EB,FS,96,,SKOKIE,Touhy & McCormick
POINT (-87.64988466800003 41.852509973999986),6945,CERMAK,929 WEST,EB,MB,21,,CHICAGO,929 W Cermak
POINT (-87.61446242699998 41.736681868000005),2113,KING DRIVE,87TH STREET,NB,FS,3,,CHICAGO,King Drive & 87th Street
POINT (-87.74694525500001 41.936784733000025),15395,CICERO,BARRY,SB,FS,54,,CHICAGO,Cicero & Barry
POINT (-87.56472424999998 41.71902779999999),12101,YATES,97TH STREET,SB,NS,100,,CHICAGO,Yates & 97th Street
POINT (-87.61375443399999 41.70005976800002),17724,KING DRIVE,107TH STREET,SB,NS,111,,CHICAGO,King Drive & 107th Street
POINT (-87.836437999 41.979420000000005),8561,CUMBERLAND,BRYN MAWR SERVICE DRIVE,NB,NS,81W,,CHICAGO,Cumberland & Bryn Mawr
POINT (-87.71287499900001 41.95030200100001),11137,KIMBALL,GRACE,SB,NS,82,,CHICAGO,Kimball & Grace
POINT (-87.71200814100001 41.902869126999974),14571,DIVISION,HOMAN,WB,FS,70,,CHICAGO,Division & Homan
POINT (-87.62855887400002 41.88205094099999),18126,MADISON,STATE/DEARBORN,WB,MB,"J14,19,20,56,60,124,157","N20,N60",CHICAGO,Madison & Dearborn/State
POINT (-87.64253291 41.867321995),18174,ROOSEVELT,JEFFERSON,WB,FS,"12,18,N62",N62,CHICAGO,Roosevelt & Jefferson
POINT (-87.623959308 41.86450771199998),18318,MICHIGAN,14TH STREET,NB,FS,"1,3,4,12",N4,CHICAGO,Michigan & 14th Street
POINT (-87.711352734 41.895737638000014),18176,HOMAN,CHICAGO,NB,FS,82,,CHICAGO,Homan & Chicago
POINT (-87.62396000000001 41.72092500000002),18384,95TH STREET,RED LINE STATION,SB,TERM,115,N9,CHICAGO,95th Red Line Station
POINT (-87.67740132099999 41.808570667000026),18400,47TH STREET,HOYNE,WB,FT,"47,48",,CHICAGO,47th Street & Hoyne
POINT (-87.70352272500003 41.795243520999975),3109,KEDZIE,54TH STREET,NB,NS,"52,52A",,CHICAGO,Kedzie & 54th Street
POINT (-87.70587899899999 41.87579100099998),3158,KEDZIE,VAN BUREN (north leg),NB,NS,52,,CHICAGO,Kedzie & Van Buren
POINT (-87.67442499999999 41.802944000000025),8740,DAMEN,50TH STREET,NB,NS,48,,CHICAGO,Damen & 50th Street
POINT (-87.80606646899997 41.921006643),15715,HARLEM,BELDEN (south leg),NB,NS,"90,307",,CHICAGO,Harlem & Belden
POINT (-87.64312499900001 41.723162),3662,HALSTED,94TH STREET (north leg),NB,NS,8A,,CHICAGO,Halsted & 94th Street
POINT (-87.74473850999999 41.86875948599999),10283,CICERO,FIFTH AVENUE,NB,FS,54,,CHICAGO,Cicero & Fifth Avenue
POINT (-87.75447135500002 42.02776286300002),3551,LINCOLN,NILES CENTER,NB,NS,97,,SKOKIE,Lincoln & Niles Center
POINT (-87.52570871500001 41.69891150299998),12257,AVENUE B,108TH STREET,NB,NS,100,,CHICAGO,Avenue B & 108th Street
POINT (-87.62978500000003 41.89903800000002),1895,DEARBORN,DELAWARE,NB,NS,22,N22,CHICAGO,Dearborn & Delaware
POINT (-87.68973339899998 42.008578133000015),12047,LUNT,WESTERN,EB,FS,96,,CHICAGO,Lunt & Western
POINT (-87.75168614799998 41.938825038000004),9327,BELMONT,LAVERGNE,WB,NS,77,N77,CHICAGO,Belmont & Lavergne
POINT (-87.65965583899998 41.78674697600002),12982,59TH STREET,LOOMIS,EB,NS,59,,CHICAGO,59th Street & Loomis
POINT (-87.62572173299998 41.787428395000006),13047,59TH STREET,STATE,WB,FS,59,,CHICAGO,59th Street & State
POINT (-87.76386716600001 41.93854489500001),17845,BELMONT,LINDER,EB,FS,77,N77,CHICAGO,Belmont & Linder
POINT (-87.75598829799998 41.90910733800001),15012,LARAMIE,NORTH AVENUE,SB,FS,57,,CHICAGO,Laramie & North Ave
POINT (-87.690493 41.873913000000016),221,HARRISON,MAPLEWOOD (west leg),WB,NS,7,,CHICAGO,Harrison & Maplewood
POINT (-87.673043 41.74480300099998),8800,DAMEN,82ND STREET,SB,NS,48,,CHICAGO,Damen & 82nd Street
POINT (-87.65744699999999 41.874330000999976),210,HARRISON,RACINE,WB,FS,"7, 755",,CHICAGO,Harrison & Racine
POINT (-87.67799846499997 41.939509902),17315,BELMONT,DAMEN,EB,FS,77,N77,CHICAGO,Belmont & Damen
POINT (-87.719963076 41.85153039800002),6914,CERMAK,HAMLIN,EB,NS,21,,CHICAGO,Cermak & Hamlin
POINT (-87.775009136 41.90179808300002),1970,DIVISION,AUSTIN,SEB,TERM,70,,CHICAGO,Division & Austin Terminal
POINT (-87.716885306 41.749693157000024),2686,79TH STREET,HAMLIN (east leg),WB,NT,79,,CHICAGO,79th Street & Hamlin
POINT (-87.77192527099999 41.792597666999995),4550,55TH STREET,AUSTIN,WB,NS,55N,,CHICAGO,55th Street & Austin
POINT (-87.80134354799998 41.78280414400001),7698,HARLEM,60TH STREET,SB,NS,62H,,SUMMIT,Harlem & 60th Street
POINT (-87.72291460399998 41.791291401000024),12929,PULASKI,56TH STREET,NB,NS,53A,,CHICAGO,Pulaski & 56th Street
POINT (-87.72886199999999 41.902563999999984),1989,DIVISION,KARLOV,EB,NS,70,,CHICAGO,Division & Karlov
POINT (-87.727953694 41.96087564999999),11332,MONTROSE,PULASKI,EB,NS,78,,CHICAGO,Montrose & Pulaski
POINT (-87.721002 42.02619900000002),3609,OAKTON,LAWNDALE,EB,MT,97,,SKOKIE,Oakton & Lawndale
POINT (-87.69408619900003 41.800812758000006),4277,CALIFORNIA,51ST STREET,SB,FS,94,,CHICAGO,California & 51st Street
POINT (-87.71388950400001 41.99016326200001),11295,KIMBALL,PETERSON,NB,NS,82,,CHICAGO,Kimball & Peterson
POINT (-87.735661462 41.95366875799999),17138,IRVING PARK,KILDARE,WB,FS,"54A,80",,CHICAGO,Irving Park & Kildare
POINT (-87.69846531500002 41.793542624),10513,55TH STREET,SACRAMENTO,EB,FS,55,N55,CHICAGO,55th Street & Sacramento
POINT (-87.66280300099999 42.011660000000006),1213,SHERIDAN,ESTES,NB,FT,147,0,CHICAGO,Sheridan & Estes
POINT (-87.63113286499998 41.75835359500002),14538,VINCENNES,75TH STREET/YALE,NB,FS,24,,CHICAGO,Vincennes & 75th Street/Yale
POINT (-87.764989905 41.88710482099998),11583,CENTRAL,CORCORAN,NB,NS,85,,CHICAGO,Central & Corcoran (Green Line)
POINT (-87.70413734700003 41.81451483400002),14503,KEDZIE,ARCHER,NB,FS,52,,CHICAGO,Kedzie & Archer
POINT (-87.63295843899999 41.787131321000004),12992,59TH STREET,PRINCETON,EB,NS,59,,CHICAGO,59th Street & Princeton
POINT (-87.69921817099998 42.04397240899999),17911,DODGE,LAKE,SB,FS,"93,206",,EVANSTON,Dodge & Lake
POINT (-87.64946072999999 41.87784819000001),63,JACKSON,PEORIA,EB,FS,126,,CHICAGO,Jackson & Peoria
POINT (-87.72626560100002 41.906159745000025),812,GRAND,PULASKI,WB,NS,65,,CHICAGO,Grand & Pulaski
POINT (-87.65686727399998 41.779611547),3242,63RD STREET,THROOP,WB,NS,63,N63,CHICAGO,63rd Street & Throop
POINT (-87.55980416900002 41.71186829099997),5251,TORRENCE,101ST STREET,SB,NS,100,,CHICAGO,Torrence & 101st Street
POINT (-87.62601000000001 41.80401999999998),2415,STATE,5000 SOUTH,SB,MB,29,,CHICAGO,5000 S State
POINT (-87.66125040999998 41.939660290000006),9285,BELMONT,LAKEWOOD (east leg),EB,NS,77,N77,CHICAGO,Belmont & Lakewood
POINT (-87.70041486000002 41.93929397800002),7863,BELMONT,FRANCISCO,EB,NS,77,N77,CHICAGO,Belmont & Francisco
POINT (-87.74682803899998 42.06234557900001),14235,OLD ORCHARD RD,SKOKIE BLVD,EB,NS,201,,SKOKIE,Old Orchard Rd & Skokie Blvd
POINT (-87.68018853400002 41.91763080200002),4063,ARMITAGE,HOYNE,EB,NS,73,,CHICAGO,Armitage & Hoyne
POINT (-87.78305999999998 41.92186299999997),677,GRAND,MOBILE,EB,NS,65,,CHICAGO,Grand & Mobile
POINT (-87.67157999900002 41.77927),3409,63RD STREET,WOLCOTT,EB,NS,63,N63,CHICAGO,63rd Street & Wolcott
POINT (-87.669706056 41.871522105999986),6691,POLK,PINK LINE STATION,EB,MB,"7,157",,CHICAGO,Polk Pink Line Station
POINT (-87.68842898000003 42.04119787100001),14678,DEMPSTER,RIDGE,EB,NS,206,,EVANSTON,Dempster & Ridge
POINT (-87.69542241599999 41.93938594399998),7866,BELMONT,WASHTENAW,EB,NS,"52,94",N77,CHICAGO,Belmont & Washtenaw
POINT (-87.79376141900002 41.792024517000016),15507,ARCHER,NEW ENGLAND,EB,FS,"62,62H",,CHICAGO,Archer & New England
POINT (-87.568806999 41.75164699999999),2803,79TH STREET,CRANDON,EB,NS,79,N79,CHICAGO,79th Street & Crandon
POINT (-87.544452734 41.730090158999985),7258,91ST STREET,BUFFALO,EB,NS,"26,30,95",,CHICAGO,91st Street & Buffalo
POINT (-87.67457571800003 41.89080579),726,GRAND,WOLCOTT,EB,NS,65,,CHICAGO,Grand & Wolcott
POINT (-87.725575403 41.880606123999996),9092,PULASKI,MADISON,NB,NS,53,N53,CHICAGO,Pulaski & Madison
POINT (-87.62400399900002 41.89943499999998),1128,MICHIGAN,btwn DELAWARE & WALTON,NB,MB,"143,146,147,148,151",,CHICAGO,Michigan & Delaware/Walton
POINT (-87.71092961 41.88263690100001),11238,HOMAN,WASHINGTON,NB,NS,82,,CHICAGO,Homan & Washington
POINT (-87.63148799999999 41.90774099999999),1901,CLARK,SCHILLER,NB,NS,"22,36",N22,CHICAGO,Clark & Schiller
POINT (-87.62396409600001 41.867892711000025),1580,MICHIGAN,ROOSEVELT,NB,FS,"1,3,4,18",N4,CHICAGO,Michigan & Roosevelt
POINT (-87.70297452900002 41.775274353999976),10008,KEDZIE,65TH STREET,NB,NS,52A,,CHICAGO,Kedzie & 65th Street
POINT (-87.67827600099997 41.93948499999999),8942,DAMEN,BELMONT,NB,NS,50,,CHICAGO,Damen & Belmont
POINT (-87.67837600000001 41.94313),8944,DAMEN,ROSCOE,NB,NS,50,,CHICAGO,Damen & Roscoe
POINT (-87.62780224 41.73620582699999),15111,87TH STREET,Mall Entrance,EB,NS,87,N87,CHICAGO,87th Street & 200 West
POINT (-87.69766877500001 41.937462477),3201,CALIFORNIA,BARRY,NB,NS,94,,CHICAGO,California & Barry
POINT (-87.64868260700001 41.86964892100002),6627,TAYLOR,900 WEST,WB,MB,157,,CHICAGO,900 W Taylor
POINT (-87.778763632 42.011934372999974),11665,TOUHY,MEADE,EB,NT,85A,,CHICAGO,Touhy & Meade
POINT (-87.535391479 41.69729515300003),7277,EWING,109TH STREET,SB,NS,30,,CHICAGO,Ewing & 109th Street
POINT (-87.584138 41.766205001),10828,71ST STREET,CORNELL (east leg),WB,NS,71,,CHICAGO,71st Street & Cornell
POINT (-87.64442307799999 41.67770857800002),12449,119TH STREET,PEORIA,EB,NS,119,,CHICAGO,119th Street & Peoria
POINT (-87.73502955700002 41.785866407000015),13094,59TH STREET,KILBOURN,WB,NS,59,,CHICAGO,59th Street & Kilbourn
POINT (-87.69428599999998 41.813649999999996),4167,CALIFORNIA,44TH STREET,NB,NS,94,,CHICAGO,California & 44th Street
POINT (-87.75384337899999 41.759935176),10379,73RD STREET,LOCKWOOD,EB,NS,54B,,BEDFORD PARK,73rd Street & Lockwood
POINT (-87.702375093 41.73348518099999),10031,KEDZIE,88TH STREET,SB,NT,52A,,EVERGREEN PARK,Kedzie & 88th Street
POINT (-87.77549268000001 41.903691286000026),9592,AUSTIN,BERKSHIRE/POTOMAC,SB,FS,91,,OAK PARK,Austin & Berkshire/Potomac
POINT (-87.79245060199997 41.908995946000005),849,NORTH AVENUE,LINDEN,EB,NS,72,,OAK PARK,North Ave & Linden
POINT (-87.671934282 41.976200670000026),4802,FOSTER,PAULINA,WB,NS,"50,92",,CHICAGO,Foster & Paulina
